"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.0106000"	21.16	22.93	8.09	11.37	23.24	20.74	13.85	16.41	78.87	49.95	17.44	7.31
"PF3D7.0106100"	27.07	19.85	56.94	44.88	37.22	31.07	57.88	36.2	35.93	25.02	39.81	43.35
"PF3D7.0106300"	214.24	220.96	194.3	179.49	192.85	196.09	207.8	243.93	273.08	184.09	204.9	207.94
"PF3D7.0106400"	330.01	251.64	507.17	353.38	340.75	245.5	760.71	417.24	69.46	334.42	419.56	550.01
"PF3D7.0106700"	97.98	107.46	154.38	143.55	82.17	115.15	161.17	193.26	76.25	115.74	93.19	180.2
"PF3D7.0106800"	43.9	63.69	67.34	55.39	33.96	75.14	24.96	50.76	146.58	44.28	59.65	36.25
"PF3D7.0107000"	402.1	468.14	379.86	268.55	526.41	517.99	231.75	250.67	748.4	405.09	471.18	244.68
"PF3D7.0107400"	99.34	82.59	66.7	59.89	130.61	131.86	54.05	54.85	128.84	74.67	113.72	41.54
"PF3D7.0107500"	284.77	299.28	350.21	284.75	221.15	266.68	316.5	337.41	152.48	391.84	248.88	284.62
"PF3D7.0107900"	31.3	24.9	57.22	59.25	46.48	34.52	92.3	56.4	28.73	35.18	49.97	54.93
"PF3D7.0108000"	441.17	520.72	664.83	634.69	261.5	338.22	558.5	617.8	656.99	243.99	517.68	558.57
"PF3D7.0108300"	278.33	291.36	463.62	416.3	222.52	260.72	506.06	602.47	208.35	357	301.57	500.09
"PF3D7.0108500"	1772.18	3162.73	276	461.07	795.19	1614.85	438.72	1616.95	517.64	725.71	603.76	467.67
"PF3D7.0108700"	57.93	61.39	89.55	81.17	64.65	69.07	104.04	106.43	71.5	54.81	74.25	88.31
"PF3D7.0108800"	36.52	47.3	38.26	38.28	47.48	34.2	48.04	46.33	57.5	25.55	51.91	44.29
"PF3D7.0109000"	547.66	1028.46	118.77	97.45	612.45	1263.72	224.47	445.11	1913.44	2088.7	641.01	156.83
"PF3D7.0109500"	97.38	92.15	98.08	140.02	52.96	59.98	105.59	192.72	60.46	43.89	86.72	118.48
"PF3D7.0109800"	51.31	44.72	64.15	64.6	44.68	63.28	73.97	81.03	41.45	40.39	60.5	74.07
"PF3D7.0110000"	379.89	475.2	132.72	98.57	401.57	556.11	189.41	203.34	205.71	117.88	417.72	143.58
"PF3D7.0110200"	89.22	94.91	94.72	88.36	92.55	68.24	109.87	76.1	78.5	71.5	139.02	113.26
"PF3D7.0110400"	134.52	112.82	107.32	107.82	108.36	106.43	131.98	121.55	75.62	117.32	119.9	119.48
"PF3D7.0110600"	59.63	67.86	63.22	65.26	52.63	60.92	81.67	92.34	56.59	77.28	53.67	56.23
"PF3D7.0110700"	199.75	216.62	605.22	581.01	203.28	224.58	198.93	175.41	236.7	136.38	274.92	241.2
"PF3D7.0110800"	281.39	251.39	408.48	324.91	305.66	340.38	455.79	374.52	228.55	357.09	384.63	371.28
"PF3D7.0110900"	17.73	12.85	38.93	48.54	13.02	21.08	38	37.91	10.72	11.13	31.32	39.91
"PF3D7.0111200"	6.06	11.17	21.39	31.21	33.25	10.87	0	10.13	32.65	23.11	5.64	0
"PF3D7.0111500"	59.6	75.21	94.55	96.1	61.1	62.28	46.37	41.89	209.24	124.5	85.02	65.32
"PF3D7.0111800"	42.79	32.82	94.74	111.62	49.77	33.16	92.34	64.3	51.88	48.59	72.63	101.91
"PF3D7.0111900"	161.04	133.69	210.5	169.16	130.29	111.62	93.61	105.96	287.76	178.6	163.86	151.89
"PF3D7.0112200"	9.55	9.1	58	46.18	7.15	7.49	34.3	15.09	25.04	20.87	27.28	48.78
"PF3D7.0112800"	64.26	73.68	15.72	21.53	117.14	86.78	51.61	58.05	15.55	104.97	46.27	42.81
"PF3D7.0113000"	1913.33	1551.14	3288.47	4371.56	581.68	498.95	7320.57	8866.58	271.54	1238.2	3914.3	6753.4
"PF3D7.0113200"	35.12	40.67	163.64	200.77	20.61	22.49	121.07	80.63	56.26	53.83	137.44	227
"PF3D7.0113300"	190.81	123.86	33.26	38.99	121.25	139.08	110.29	190.96	37.19	102.91	80.84	95.76
"PF3D7.0113700"	302.03	240.6	130.86	96.34	256.07	215.13	289.06	323.87	51.36	218.82	275.89	323.38
"PF3D7.0114000"	118.06	169.19	54.75	41.62	152.27	190.23	63.16	121.4	54.16	53.62	141.33	69.63
"PF3D7.0114500"	173.72	104.76	890.68	480.9	25.72	8.65	963.27	564.02	44.24	135.8	1081.08	1927.81
"PF3D7.0115600"	14.42	10.8	35.03	36.78	2.63	4.39	6.17	14.09	4.44	2.98	14.88	30.88
"PF3D7.0201500"	127.7	85.01	281.05	196.28	86.01	57.63	487.9	321.84	78.05	109.88	290.41	569.84
"PF3D7.0201700"	185.29	180.83	25.62	31.64	233.04	238.29	93.17	158.59	37.01	208.44	76.81	69.55
"PF3D7.0201800"	928.81	658.59	918.62	646.62	604.21	490.09	1809.64	1510.25	128.61	691.98	1095.43	1439.75
"PF3D7.0201900"	129.16	82.37	461.21	407.29	24.43	24.85	643.7	812.57	29.74	120.55	364.76	805.6
"PF3D7.0202000"	3618.92	3514.75	2906.4	4639.59	927.4	785.64	5522.25	16165.3	551.68	1054.87	5020.98	7952.26
"PF3D7.0202100"	630.82	821.65	109.57	103.82	1083.99	1190.03	320.68	430.54	925.68	2616.13	601.25	189.6
"PF3D7.0202200"	775.62	750.81	105.8	114.91	634.69	607.85	283.19	408.68	140.48	452.7	186.58	158.81
"PF3D7.0202300"	13.2	18.63	113.77	97.68	5.77	8.96	95.78	34.31	9.94	42.34	42.12	65.3
"PF3D7.0202400"	107.82	94.48	120.97	163.05	67.03	42.15	314.59	378.09	75.55	94.34	147.05	347.13
"PF3D7.0202500"	13177.3	17454	3198.29	2996.35	5320.35	9759.42	5929.45	16042.1	6400.2	8020.33	7353.1	4873.72
"PF3D7.0203400"	341.32	371.17	374.65	258.52	337.08	465.49	200.01	208.66	733.08	187.03	374.77	318.8
"PF3D7.0203700"	245.37	270.96	295.58	314.67	175.94	241.79	349.87	398.13	85.33	174.35	227.88	339.02
"PF3D7.0204100"	20.73	45.1	11.64	9.28	25.33	35.23	7.51	16.61	89.13	32.75	17.35	10.15
"PF3D7.0204200"	346.13	284	360.79	345.5	354.71	270.63	501.28	384.41	416.41	731.12	373.06	318.58
"PF3D7.0204300"	59.91	44.59	93.36	82.33	57.11	39.14	100.03	86.54	26.31	62.35	51.68	67.54
"PF3D7.0204500"	57.62	50	91.03	60.78	41.92	31.37	90.42	104.15	34.49	45.61	57.07	70.75
"PF3D7.0204700"	220.58	162.8	211.38	189.31	144.13	131.34	273.17	275.05	135.06	125.64	244.25	244.51
"PF3D7.0204800"	11.66	9.7	27.39	25.91	13.37	13.78	12	7.97	18.49	14.02	15.27	13.53
"PF3D7.0204900"	23.44	28.4	28.15	28.89	34.19	35.22	16.71	25.94	38.77	22.15	31.06	24.65
"PF3D7.0205100"	54.76	47.06	25.89	15.52	111.33	105.24	39.46	36.67	51.35	57.04	57.35	27.62
"PF3D7.0205500"	282.44	255.7	319.38	266.05	210.49	182.88	265.73	250.67	153.18	219.8	345.14	386.77
"PF3D7.0206000"	33.68	34.04	26.63	29.06	39.06	43.41	26.72	36.8	34.8	68.13	25.07	29.67
