"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.1033600"	82.27	108.99	113.12	118.99	62.08	78.69	111.09	152.09	60.8	69.12	78.25	132.69
"PF3D7.1033700"	148.03	110.98	191.25	196.43	100.71	112.69	235.81	194.72	86.29	89.86	155.08	176.58
"PF3D7.1033900"	159.19	268.33	58.94	50.13	154.67	223.96	63.45	133.99	343.29	89.27	166.02	49.99
"PF3D7.1034900"	221.92	180.5	241.5	193.39	179.84	174.2	149.55	162.41	176.1	164.93	146.53	165.78
"PF3D7.1035100"	24.67	45.96	5.54	7.27	32.22	43.05	12.52	24.44	140.95	83.8	21.88	8.92
"PF3D7.1035200"	1089.55	2421.06	194.9	250.94	706.31	1501.97	211.99	758.82	6836.21	2965.16	623.37	177.22
"PF3D7.1035300"	103.07	195.66	21.45	31.72	160.89	292.11	40.79	106.09	475.08	615.54	125.5	31.68
"PF3D7.1035400"	732.61	1434.12	156.68	190.21	950.54	1584.26	280.65	636.34	3291.23	3522.22	943.52	207.75
"PF3D7.1035500"	745.38	1212.38	159.56	171.5	1053.89	1685.56	335.54	616.84	2830.17	4295.94	943.33	251.62
"PF3D7.1035600"	30.93	31.17	5.96	4.44	29.82	30.99	9.58	15.6	110.43	109.72	12.94	5.71
"PF3D7.1035700"	264.07	414.22	42.27	48.59	286.43	428.04	71.16	214.95	1301.11	1135.92	266.57	59.21
"PF3D7.1035900"	286.91	677.63	53.05	90.04	416	804.91	103.73	304.72	1453.42	1777.96	315.82	64.02
"PF3D7.1036000"	110.68	215.7	21.97	27.55	93.15	188.24	26.51	121.4	380.38	333.62	117.72	41.84
"PF3D7.1036500"	128.01	290.38	32.26	41.41	136.23	260.51	48.67	130.05	500.28	569.43	146.2	37.99
"PF3D7.1036700"	78.43	51.2	181.2	159.92	91.67	85.9	170.7	110.22	81.68	47.95	175.45	180.44
"PF3D7.1036900"	338.96	402.94	240.22	267.52	332.03	433.24	368.15	502.31	154.06	461.33	234.62	377.86
"PF3D7.1037100"	26.47	25.1	75.22	80.78	18.92	16.81	62.17	53.4	33.73	21.63	43.01	77.29
"PF3D7.1037300"	1400.32	1256.7	1557.97	1351.38	786.16	676.15	1590.96	1910.43	469.72	754.6	1008.68	1367.95
"PF3D7.1037500"	30.07	31.68	6.17	10.4	42.38	43.3	17.58	20.33	86.99	84.4	30.81	11.3
"PF3D7.1037600"	90.53	92.62	116.11	116.12	91.23	79.67	175.64	139.5	74.42	105.67	99.48	128.41
"PF3D7.1038200"	155.01	152.96	45.35	21	87.54	73.75	226.11	202.7	106.79	53.9	318.44	195.13
"PF3D7.1038700"	47.49	37.67	19.9	19.14	38.17	61.54	50.69	42.41	29.94	16.61	40.62	30.76
"PF3D7.1038800"	94.7	69.68	26.57	25.23	99.99	89.28	70.79	80.81	29.96	93.05	56.24	59.25
"PF3D7.1039000"	101.01	48	322.41	358.49	42	23.41	389.19	237.66	11.39	98.72	334.3	569.09
"PF3D7.1040200"	11.2	5.65	29.26	49.46	0	0	5.3	5.47	1.4	0	13.75	17.99
"PF3D7.1100800"	5.29	14.12	93.34	101.09	0	0	25.07	23.19	3.27	0	18.46	20.86
"PF3D7.1102500"	853.48	587.49	253.23	271.83	1266.39	622.01	701.69	1108.09	165.65	699.76	561.48	695.67
"PF3D7.1102700"	4777.71	4615.92	1265.54	1065.99	2574.09	3286.94	2658.4	4313.26	1735.98	4087.82	2785.85	1835.49
"PF3D7.1102800"	22163.3	42934.2	5925.22	6365.48	4109.69	13891.6	3620.92	29818.7	12088	5763.72	9670.86	6284.65
"PF3D7.1102900"	82.61	54.5	13.68	15.93	109.51	92.12	16.61	35.61	28.77	75.79	21.42	22.92
"PF3D7.1103100"	3064.6	2833.57	3938.54	5097.81	1107.81	1127.98	3702.59	4566.64	1038.66	1025.31	2765.5	3554.24
"PF3D7.1103400"	9.07	12.12	20.29	27.55	16.53	16.86	15.18	13.9	24.71	16.41	17.19	18.79
"PF3D7.1103600"	31.69	24.9	22.1	22.15	19.82	28.83	30.03	36.07	20.71	13.14	23.29	38.1
"PF3D7.1103700"	207.53	139.43	296.02	255.59	191.39	158.75	286.98	266.94	227.09	166.51	215.85	229.25
"PF3D7.1103800"	27.16	36.29	29.08	40.24	44.86	57.49	20.03	24.12	35.6	46.23	31.69	27.66
"PF3D7.1104000"	92.61	67.06	147.17	118.46	76.94	55.5	185.5	143.18	61.22	89.04	105.67	130.52
"PF3D7.1104100"	65.59	58.14	66.43	67.95	71.96	76.83	122.02	88.55	57.11	102.75	75.42	79.65
"PF3D7.1104400"	81.27	84.03	69.61	88.38	58.54	44.95	113.77	96.61	112.17	57.52	88.53	95.68
"PF3D7.1104800"	58.12	39.11	143.2	130.68	48.41	33.38	121.48	121.19	76.23	49.31	107.59	124.51
"PF3D7.1104900"	37.45	40.77	5.98	10.03	55.83	53.34	13.65	21.6	76.34	155.06	35.47	10.36
"PF3D7.1105000"	1598.6	2435.44	1389.22	1489.36	779.87	1219.34	1604.19	2988.27	1316.23	873.67	1586.02	1336.14
"PF3D7.1105100"	5363.49	7465.06	4266.4	4525.5	2681.52	4480.05	5720.31	8648.2	7080.22	3180.6	6147.5	3802.66
"PF3D7.1105500"	86.36	106.22	92.1	93.76	45.66	107.25	64.54	40.65	166.27	77.77	117.73	40.49
"PF3D7.1105700"	228.25	230.03	237.26	219.22	218.69	257.47	266.79	338.84	140.83	143.2	240.94	230.1
"PF3D7.1106000"	224.99	145.73	429.37	322.87	198.69	202.5	414.99	272.18	144.7	192.72	274.21	364.05
"PF3D7.1106100"	50.73	44.83	56.36	58.72	79.98	72.86	65.28	45.7	100.11	56.54	73.83	63.82
"PF3D7.1106500"	15.51	11.86	34.75	33.81	19.9	13.47	31.75	29.7	11.84	16.38	25.66	41.16
"PF3D7.1106700"	29.99	23.83	34.76	43.15	37.86	32.5	47.02	40.31	27.92	44.5	42.76	47.44
"PF3D7.1106900"	20.99	24.77	32.88	44.09	22.65	27.41	27.28	27.85	12.42	21.55	21.98	26.28
"PF3D7.1107000"	243.09	191.95	220.84	220.25	104.08	228.57	246.86	212.1	157.91	99.81	209.39	188.93
"PF3D7.1107100"	65.78	92.12	25.45	19	71.11	94.62	27.52	39.53	121.94	64.17	69.89	20.79
"PF3D7.1107200"	40.79	43.57	83.85	85.4	52.65	48.59	65.89	56.72	48.06	44.9	61.88	66.6
"PF3D7.1107300"	197.44	216.64	270.24	306.08	196.15	238.54	303.79	329.43	163.29	289.76	178.24	272.5
"PF3D7.1107400"	69.22	111.21	99.68	113.17	47.16	86.8	38.38	78.87	116.95	26.42	87.63	90.29
"PF3D7.1107700"	132.84	111.67	191.44	202.97	112.46	132.09	234.2	217.73	66.32	112.41	123.2	190.1
"PF3D7.1107800"	98.66	95.26	82.88	54.67	106.9	103.9	129.13	146.54	226.34	239.56	123.56	169.77
"PF3D7.1108000"	182.49	201.23	173.64	170.83	222.45	239.64	259.29	246.4	126.01	239.57	193.59	184.06
"PF3D7.1108200"	21.26	13.57	17.04	20.76	18.26	16.92	21.28	23.75	16.1	32.4	13.66	19.13
"PF3D7.1108400"	703.89	597.77	878.18	776.74	548.63	472.57	920.33	759.82	550.37	502.02	722.42	810.02
"PF3D7.1108600"	1263.44	1078.3	1275.73	1001.73	1116.48	926.89	2187.38	1693.01	2207.49	1517.66	1388.82	1505.5
"PF3D7.1108700"	120.62	141.48	171.51	155.53	81.34	85.44	194.51	225.52	126.21	63.59	173.46	219.46
"PF3D7.1109400"	333.67	290.67	380.71	343.66	308.07	325.34	491.48	423.91	145.6	273.81	347.65	368.79
"PF3D7.1109900"	2936.75	1938.99	4687.64	3286.56	2817.01	1800.5	5934.89	3551.11	1396.63	2985.9	3348	3530.92
"PF3D7.1110000"	203.02	227.12	319.11	370.4	78.7	149.76	340.22	184.26	132.69	69.4	155.96	233.39
"PF3D7.1110200"	169.09	203.24	257.27	238.16	146.53	204.53	244.38	259.11	146.57	187.24	165.32	267.63
"PF3D7.1110400"	398.29	507.63	648.8	632.47	287.68	375.13	537.26	766.51	236.47	360.84	342.55	624.58
"PF3D7.1110600"	178	273.2	198.31	189.41	171.06	247.11	88.99	115.18	390.93	181.65	212.3	78.57
"PF3D7.1110700"	63.24	117.58	26.07	24.15	66.87	93.52	46.51	37.1	210.98	115.76	54.42	24.46
"PF3D7.1110800"	38.22	34.64	12.75	6.23	56.45	69.29	18.19	14.61	28.86	29.93	23.45	10.76
"PF3D7.1110900"	53.73	49.26	64.22	69.38	58.49	56.93	81.84	60.12	44.92	63.09	44.75	57.44
"PF3D7.1111200"	21.68	16.31	49.65	42.61	33.27	21.19	48.4	32.58	14.99	24.13	35.02	41.88
"PF3D7.1111400"	83.82	66.97	125.87	104.22	164.58	78.73	99.41	78.03	114.69	111.91	104.84	133.66
"PF3D7.1112000"	491.91	490.75	364.43	397.1	539.43	599.81	712.03	546.48	752.68	1024.16	482.79	413.61
"PF3D7.1113100"	859.63	990.82	925.49	989.79	474.99	740.79	1017.39	1089.9	809.93	776.59	850.04	816.61
"PF3D7.1113200"	53.06	48.65	62.38	85.99	60.46	45.15	187.17	83.9	56.75	99.16	54.86	64.5
"PF3D7.1113300"	33.14	39.28	47	36.62	31.13	30.46	28.9	31.67	109.77	40.59	39.21	38.38
"PF3D7.1113400"	370.46	411.38	401.32	390.1	263.44	345.19	439.12	477.27	397.96	356.7	434.25	394.58
"PF3D7.1113600"	99	86.39	117.81	90.98	90.21	116.91	147.34	126.58	71.64	149.25	94.37	127.96
"PF3D7.1113700"	94.27	63.9	76.61	69.82	66.03	58.29	130.62	87.52	40.84	73.78	86.89	101.44
"PF3D7.1114000"	32.97	24.7	12.13	7.56	40.28	39.69	18.35	25.56	20.47	24.33	51.24	15.48
"PF3D7.1114200"	163.49	141.41	48.35	51.95	105.09	110.32	97.25	135.63	41.58	127.51	97.42	82.62
"PF3D7.1114700"	311.98	338.46	299.84	354.71	275.93	324.14	282.21	365.21	418.97	309.05	263.61	324.45
"PF3D7.1114800"	24.26	41.29	9.64	3.45	53.6	63.44	17.69	18.39	45.59	19.93	32.6	7.75
"PF3D7.1115300"	93.88	58.61	91.91	76.44	54.4	46.04	119.42	84.94	15.63	55.32	80.71	115.32
"PF3D7.1115400"	278.26	309.29	242.33	243.76	251.81	319.1	289.81	288.6	320.76	258.21	277.63	197.9
"PF3D7.1115600"	456.49	537.71	322.81	313.84	298.46	419.74	403.11	432.32	910.23	360.85	479.08	311.23
"PF3D7.1115700"	357.69	379.18	1801.3	1404.89	210.9	292.03	1824.06	940.62	241.18	515.82	1193.8	1360.63
"PF3D7.1115800"	942.92	1127.54	157.16	182.08	973.81	1387.46	363.55	658.44	469.7	1355.02	541.22	289.32
"PF3D7.1115900"	62.74	123.57	17.64	17.62	73.63	101.69	32.16	43.16	128.38	101.61	52.64	23.61
"PF3D7.1116000"	62.42	132.33	11.43	19.72	57.97	101.16	20.96	61.72	433.69	190.13	74.74	16.45
"PF3D7.1116100"	34.35	55.43	13.71	16.38	55.78	64	14.29	29.26	140.32	180.45	32.98	14.9
"PF3D7.1116300"	368.39	367.3	298.53	311.33	178.25	300.42	216.22	461.55	187.98	104.36	279.34	334.65
"PF3D7.1116400"	37.66	29.1	34.94	28.85	38.95	48.47	42.63	40.22	44.11	54.94	37.43	52.73
"PF3D7.1116800"	352.4	348.5	125.45	160.57	279.22	352.55	329.27	320.88	161.44	576.19	310.68	266.52
"PF3D7.1116900"	20.74	41.08	9.29	5.9	14.48	57.54	19.04	11.53	38.02	44.84	30.55	7.13
"PF3D7.1117100"	26.24	29.29	22.79	19.06	35.79	27.88	9.75	13.47	49.77	27.05	21.85	31.17
"PF3D7.1117400"	91.58	144.7	80.56	88.6	53.96	94.99	59.41	82.03	238.71	105.89	100.69	88.93
"PF3D7.1117700"	3346.55	3236.19	4155.16	3993.63	1837.3	2126.09	3075.49	3838.03	3124.61	1559.46	3232.37	3779.58
"PF3D7.1117800"	37.35	27.79	27.74	27.37	43.68	36.68	33.14	43.95	44.84	54.57	32.79	56.08
"PF3D7.1118200"	99.08	111.34	320.72	341.35	94.09	106.96	269.16	211.91	70.27	90.19	194.92	312.76
"PF3D7.1118300"	158.7	143.03	116.89	98.86	137.8	153.8	146.48	169.64	76.51	133.32	94.89	154.21
"PF3D7.1118500"	299.64	303.65	352.32	369.72	191.31	242.91	347.01	438.55	132.76	185.42	248.44	358.8
"PF3D7.1118600"	121.06	138.65	99.74	102.38	121.12	133.14	138.67	169.01	86.4	143.45	110.62	120.25
"PF3D7.1118700"	77.44	139.38	19.58	23.91	108.55	140.81	36.31	63.72	425.02	336.4	79.29	25.85
"PF3D7.1119000"	65.07	47.46	135.54	121.23	52.88	46.51	104.34	77.34	90.04	76.38	82.63	100.95
"PF3D7.1119100"	47.3	37.1	112.75	98.86	46.45	32.35	146.03	74.7	30.03	43.47	69.93	104.52
"PF3D7.1119200"	87.63	77.59	63.44	61.73	140.72	68.03	111.48	76.49	36.36	46.23	114.65	93.43
"PF3D7.1119300"	235.02	307.22	335.67	388.83	148.54	226.27	256.19	385.8	218.96	151.77	250.23	327.74
"PF3D7.1119600"	62.52	56.39	118.23	108.14	44.11	46.98	108.09	104.54	49.56	58.39	74.81	95.4
"PF3D7.1119800"	86.57	95.69	86.64	90.96	98.01	79.28	152.02	98.06	99.27	113.37	94.56	115.51
"PF3D7.1120000"	291.04	207.42	271.51	368.44	293.94	237.27	454.11	402.26	128.22	360.23	229.32	322.8
"PF3D7.1120100"	3315.86	2876.82	3269.35	3211.62	1365.03	1152.96	3302.99	5444.65	1040.89	1083.42	2932.33	3778.96
"PF3D7.1120200"	328.48	439.81	411.51	318.95	267.19	330.8	278.54	350.58	725.49	430.38	463.28	336.65
"PF3D7.1120500"	35.39	33.56	40.87	37.63	46.52	37.62	63.69	54.66	24.99	50.36	30.95	58.12
"PF3D7.1120900"	55.05	41.53	92.7	205.9	92.81	53.39	90.21	30.19	66.04	42.17	92.42	44.08
"PF3D7.1121000"	45.1	58.14	24.58	26.93	65.63	73.17	31.54	32.12	69.36	55.72	63.54	26.51
"PF3D7.1121700"	72.74	51.93	61.78	71.34	55.77	73.3	95.44	97.18	42.99	82.84	63.58	86.23
"PF3D7.1122400"	58.27	48.16	56.99	55.44	83.06	64.25	105.57	86.46	48.73	72.74	60.71	68.15
"PF3D7.1122800"	24.02	27.3	12.58	13.4	27.97	39.37	21.15	32.66	23.72	35.4	18.14	18.96
"PF3D7.1123000"	45.7	50.23	29.11	40.59	48.81	56.54	45.86	55.1	48.08	65.82	35.69	40.35
"PF3D7.1123300"	31.01	20.56	30.97	29.23	27	30.24	48.92	40.49	38.52	52.73	29	34.97
"PF3D7.1123400"	471.16	441.24	755.08	647.78	365.18	356.13	668.72	674.97	259.22	300.68	508.95	623.59
"PF3D7.1123600"	48.48	38.16	46.89	69.98	41.56	32.06	59.9	87.23	24.6	28.99	51.75	62.46
"PF3D7.1123900"	913.82	1068.63	1285.58	1151.9	499.36	577.88	1076.8	1354.46	416.81	352.66	1010.63	1137.03
"PF3D7.1124000"	94.69	120.25	50.04	41.1	80.52	114.88	61.45	71.45	100.25	47.46	70.52	45.83
"PF3D7.1124100"	24.36	27.98	30.09	38.12	23.43	24.71	40.72	38.37	29.25	20.46	22.05	36.4
"PF3D7.1124200"	70.65	73.13	78.27	55.52	78.77	89.18	87.87	59.32	159.51	94.1	68.13	60.8
"PF3D7.1124300"	136.41	119.33	230.67	265.2	113.6	89.69	199.4	207.45	110.68	116.9	155.23	234.55
"PF3D7.1124400"	65.72	48.03	55.41	82.14	70.83	60.23	107.88	77.75	12.52	58.37	64.51	76.32
"PF3D7.1124500"	22.58	21.03	21.21	27.47	39.8	29.75	31.18	26.54	24.78	19.69	30.04	29.58
"PF3D7.1124600"	150.72	214.7	193.08	176.03	209.82	236.18	141.7	151.52	388.98	389.31	189.15	142.9
"PF3D7.1124700"	96.76	77.02	242.72	225.23	74.55	49.18	254.89	157.35	43.25	55.49	162.1	183.82
"PF3D7.1124800"	483.05	450.47	577.49	563.28	483.39	461.3	1048.9	665.78	246.36	476.7	492.29	551.88
"PF3D7.1124900"	1768.54	1476.99	2529.78	2630.14	840.03	891.13	2259.53	2344.69	800.54	794.27	1643.72	2122.75
"PF3D7.1125200"	96.73	62.48	124.75	114.74	51.22	52.68	115.73	132.64	53.45	23.83	88.79	131.87
"PF3D7.1125300"	28.47	30.62	61.18	73.16	25.13	30.3	55.17	43.28	21.19	22.48	40.85	69.49
"PF3D7.1125400"	134.97	114.56	403.01	426.93	119.7	104.68	377.42	277.75	67.72	128.47	210.24	339.2
"PF3D7.1125500"	420.68	276.5	452.44	440.94	224.16	273.49	723.98	586.03	211.83	299.44	409.27	506
"PF3D7.1125700"	135.88	278.69	30.46	27.88	215.07	355.06	52.14	130.94	564.21	768.04	168.57	35.25
"PF3D7.1125800"	314.71	575.22	65.28	65.03	448.17	743.79	134.1	274.13	1082.05	1633.65	364.79	78.61
"PF3D7.1125900"	391.62	402.63	362.98	369.95	520.59	467.6	698.04	442.53	509.06	1652.94	530.13	497.6
"PF3D7.1126000"	294.5	263.03	450.67	416.05	253.57	224.73	538.04	496.59	138.64	282.23	297.11	479.86
"PF3D7.1126200"	2782.16	2290.21	3460.27	3264.5	1337.64	1520.24	3357.59	3397.28	1253.79	1162.69	2563.85	2783.87
"PF3D7.1126400"	92.14	94.17	118.49	126.08	126.36	94.47	171.14	96.58	30.64	87.09	97.65	99.52
"PF3D7.1126500"	52.85	44.38	63.18	57.63	44.7	39.45	80.06	66.48	22.21	60.04	38.41	70.93
"PF3D7.1126600"	29.66	20.79	62.63	53.49	33.8	32.06	47.87	31.44	28.58	33.79	41.37	39.57
"PF3D7.1126700"	126.36	235.08	28.46	34.4	245.67	319.22	59.75	127.03	505.87	1014.36	161.73	45.42
"PF3D7.1127000"	107.34	53.7	86.44	96.66	80.8	53.34	159.2	119.66	57.02	93.8	79.91	83.82
"PF3D7.1127100"	216.22	235	542.8	478.5	173.5	193.77	119.44	175.45	534.24	139.58	283.62	251.82
"PF3D7.1127600"	122.63	177.39	133	117.47	163.35	234.81	107.65	107.24	309.13	419.02	179.16	80.49
"PF3D7.1127800"	16.49	11.04	35.99	40.98	18.81	16.46	42.13	25.58	10.31	19.06	24.8	40.06
"PF3D7.1127900"	61.46	69.21	40.35	49.29	86.34	98.4	63.66	54.88	77.95	160.58	81.72	61.02
"PF3D7.1128100"	330.79	252.57	579.49	540.66	344.43	262.1	525.46	454.04	296.58	271.15	444.55	530.72
"PF3D7.1128200"	262.3	217.39	353.99	315.95	291.45	223.93	371.06	296.34	129.74	150.87	318.25	409.18
"PF3D7.1128400"	133.94	113.63	294.24	249.64	126.48	115.49	275.99	209.78	166.57	89.79	214.34	229.18
"PF3D7.1128600"	31.58	38.26	11.13	7.9	81.09	76.17	28.07	21.95	23.38	27.78	39.68	20.9
"PF3D7.1128900"	35.61	75.13	10.35	8.12	44.05	58.82	13.26	17.78	166.68	92.58	40.41	8.63
"PF3D7.1129100"	1129.28	990.58	1601.9	1646.13	955.75	1153.49	1789.49	1473.2	759.46	1160.77	1626.41	1554.83
"PF3D7.1129200"	435.62	417.89	573.06	437.33	320.73	351.99	579.11	509.29	592.38	409.02	452.56	497.14
"PF3D7.1129400"	188.58	134.76	347.17	340.55	146.41	132.57	350.71	284.27	59.06	142.36	184.69	334.75
"PF3D7.1129500"	10.1	10.82	26.06	30.63	10.26	8.22	14.31	18.61	19.64	10.4	14.94	16.14
"PF3D7.1130000"	37.25	27.92	43.87	46.88	11.86	17.54	29.99	30.6	19.06	11.42	19.51	28.1
"PF3D7.1130200"	3057.74	3021.88	4821.29	4653.27	1588.48	1646.7	3915.43	4378.69	1573.13	1492.24	2772.71	3242.7
"PF3D7.1130400"	294.72	398.63	373.43	339.32	255.78	318.02	288.87	313.75	515.73	278.84	341.02	322.55
"PF3D7.1130600"	39.57	25.91	42.72	45.37	35.43	24.71	65.67	53.53	16.56	27.05	42.36	60.6
"PF3D7.1130700"	9.96	13.11	25.82	30.68	12.02	15.53	13.63	13.01	21.83	13.21	13.88	21.3
"PF3D7.1131000"	43.55	70.6	180.33	224.57	66.76	53.86	66.31	73.79	117.65	46.57	120.97	113.44
"PF3D7.1131200"	28.67	22.99	23.58	20.07	55.01	37.9	42.01	23.53	39.87	39.43	25.34	14.54
"PF3D7.1131800"	49.02	65.23	182.43	175.68	60.29	68.7	114.75	78.86	87.64	125.85	108.13	163.38
"PF3D7.1132200"	758.71	683.17	1237.49	1165.11	641.76	569.48	1167.06	1032.89	344.85	523.4	840.79	1072.19
"PF3D7.1132400"	12.67	11.32	23.3	23.57	15.74	14.28	21.6	19.61	22.07	18.5	16.71	22.56
"PF3D7.1132600"	109.8	90.59	108.4	109.55	102.93	84.33	173.08	141.22	111.43	98.84	106.1	121.35
"PF3D7.1132800"	529.46	529.55	385.75	398.47	542.01	521.99	588.14	612.91	1505.03	894.29	706.94	556.11
"PF3D7.1132900"	29.15	23.92	118.17	84.72	31.36	16.4	94.25	37.59	31.48	50.23	68.77	108.29
"PF3D7.1133100"	70.05	77.12	77.64	101.71	67.52	59.5	103.89	124.91	29.11	56.66	64.79	106.82
"PF3D7.1133200"	42.55	76.98	71.23	71.25	64.06	82.32	25.98	41.67	181.16	111.78	41.46	37.76
"PF3D7.1133300"	39.23	59.43	10.51	5.26	35.38	44.21	16.06	29.35	170.55	128.84	44.27	9.65
"PF3D7.1133400"	387.01	795.5	65.31	90.93	539.83	915.64	149.72	404.82	1308.59	1786.54	594.97	113.49
"PF3D7.1133700"	897.79	769.91	203.59	170.53	794.89	746.43	430.59	637.44	136.64	722.74	264.41	310.03
"PF3D7.1133800"	50.71	57.72	70.44	57.37	55.19	47.8	70.04	64.65	81.32	79.21	51.53	68.5
"PF3D7.1133900"	37.07	37.15	30.63	27.38	46.32	44.45	44.83	44.92	54.08	49.21	28.09	43.6
"PF3D7.1134000"	604.6	554.46	2470.31	2004.88	447.79	486.89	1357.96	1093.79	494.07	408.6	1209.76	1680.01
"PF3D7.1134100"	62.74	84.26	85.59	81.34	45.41	59.24	73.33	80.84	129.82	76.03	64.87	75.53
"PF3D7.1134400"	74.08	87.15	105.42	96.85	78.75	80.06	44.42	45.6	77.41	36.81	85.64	49.95
"PF3D7.1134700"	88.05	79.72	100.43	95.35	61.89	66.97	142.53	138.85	22.35	68.41	97.83	148.58
"PF3D7.1134800"	52.85	52.48	37.85	42.27	37.74	41.12	38.88	66.72	56.11	41.43	47.87	46.99
"PF3D7.1135100"	144.04	114.6	55.31	47.72	86.39	97.99	124.13	153.4	101.41	114.69	87.07	101.54
"PF3D7.1135400"	104.46	65.44	82.66	77.04	45.04	33.81	68.25	55.14	78.72	71.95	68.63	70.82
"PF3D7.1135700"	245.44	191.82	353.4	232.7	310.89	296.18	538.05	417.86	209.93	276.77	341.27	351.6
"PF3D7.1135900"	244.07	316.5	130.49	94.75	228.28	260.51	164.32	169.51	724.29	325	242.46	200.7
"PF3D7.1136200"	60.04	124.53	12.34	14.76	60.74	99.56	19.84	46.28	346.75	190.64	52.06	17.49
"PF3D7.1136300"	188.3	189.88	117.16	104.79	184.84	140.85	156.07	194.16	119.82	183.11	90.72	132.26
"PF3D7.1136400"	25.27	22.95	18.98	21.75	25.61	21.43	26.49	28.42	20.4	45.82	24.93	29.92
"PF3D7.1136600"	92.51	93.16	96.47	122.71	90.47	104.54	137.92	153.89	43.31	151.46	75.79	128.56
"PF3D7.1136900"	78.75	157.15	20.74	27.05	97.07	179.33	35.81	65.86	214.49	321.31	88.11	25.51
"PF3D7.1137200"	33.91	21.24	4.07	8.93	27.6	22.87	17.18	17.32	60.68	73.71	15.36	4.17
"PF3D7.1137300"	57.42	54.57	58.99	70.46	54.61	64.21	92.57	78.82	37.13	64.38	59.98	76.6
"PF3D7.1137400"	48.02	40.57	188.08	162.45	61.68	70.44	161.18	103.11	69.14	69.44	120.9	155.33
"PF3D7.1137500"	114.97	109.71	91.32	78.78	119.09	146.58	67.76	48.37	233.96	137.29	101.95	73.01
"PF3D7.1137800"	24.09	107.52	14.49	11.94	47.41	146.57	18.33	53.74	186.31	192.38	43.84	21.67
"PF3D7.1138200"	24.82	38.55	35.49	28.21	15.55	29.07	23.55	23.47	42.87	32.9	52.21	39.76
"PF3D7.1138600"	27.76	24.4	38.82	31.26	25.9	25.09	29.03	33.61	23.82	18.13	29.85	39.04
"PF3D7.1138800"	38.66	48.23	34.38	45.14	38.46	49.32	62.46	83.07	36.04	43.92	39.65	48.54
"PF3D7.1139100"	51.95	45.53	39.97	33.77	52.36	63.34	146.88	161.76	21.51	66.74	48.57	78.59
"PF3D7.1139300"	32.16	27.92	32.97	38.67	25.01	25.81	55.89	61.07	13.53	46.61	37.5	58.23
"PF3D7.1140100"	372.83	287.03	379.3	301.81	378.82	261.56	408.37	260.59	522.45	355.18	435.47	382.02
"PF3D7.1140400"	254.13	552.2	95.36	78.1	185.52	346.76	71.03	244.82	1524.18	500.95	201.1	82.83
"PF3D7.1140700"	34.39	31.47	63.67	65.91	35.8	37.81	63.9	53.1	19.31	42.32	53.87	87.91
"PF3D7.1140800"	25.94	18.6	17.65	30.8	22.34	26.25	39.24	30.66	19.97	31.69	23.99	33.23
"PF3D7.1141200"	101.88	185.44	95.86	102.45	65.02	173.04	46.66	101.36	204.44	77.24	155.92	91.13
"PF3D7.1141400"	38.27	42.71	52.81	43.09	39.06	53.77	27.94	29.73	101.37	24.31	49.69	36.51
"PF3D7.1141600"	13.71	11.06	31.99	31.92	13.98	13.49	26.08	9.35	33.84	17.22	22.08	30.89
"PF3D7.1141700"	60.61	28.48	119.35	126.53	82.14	29.42	139.33	81.55	49.04	49.87	88.44	84.25
"PF3D7.1142100"	56.47	63.71	18.2	15.15	58.58	64.86	29.52	53.48	32.98	63.51	24.99	28
"PF3D7.1142400"	56.36	38.92	48.56	43.2	62.85	44.07	68.16	40.51	38.94	73.14	41.52	55.25
"PF3D7.1142500"	1722.23	1393.4	2652.65	2408.7	876.39	885.05	2422.78	2263.59	753.11	713.48	2075.18	2124.33
"PF3D7.1142700"	59.36	45.09	40.07	33.91	37.5	30.02	55.27	71.18	13.18	31.94	34.49	51.74
"PF3D7.1143100"	56.49	109.3	10.57	13.41	75.25	130.49	22.85	52.68	155.23	245.4	62.87	15.36
"PF3D7.1143200"	36.86	30.01	12.28	6.89	59.78	32.72	34.87	25.18	134.03	90.86	69.82	18.32
"PF3D7.1143300"	314.71	247.12	347.49	443.18	255.08	224.03	663.46	483.75	159.2	264.12	381.12	465.64
"PF3D7.1143400"	757.98	717.63	1057.59	1124.77	415.5	479.87	665.59	972.55	617.36	290.66	763.1	910.84
"PF3D7.1143800"	54.8	62.25	41.01	42.01	57.95	66.44	58.5	57.09	61.28	102.66	64.63	53.83
"PF3D7.1143900"	30	31.24	56.98	64.21	21.97	25.39	36.68	53.01	13.59	18.67	24.59	37.62
"PF3D7.1144100"	148.47	174.54	217.36	222.98	101.58	129.83	115.89	115.58	181.7	64.77	178.61	118.4
"PF3D7.1144300"	5249.25	7078.75	7526.47	12566.8	756.77	1023.68	2533.56	11960.3	3071.84	449.54	3708.8	5636.65
"PF3D7.1144600"	99.79	66.65	81.92	96.13	95.38	66.09	157.54	109.53	60.36	72.91	86.63	102.39
"PF3D7.1144700"	61.7	78.07	95.97	76.38	41.77	58.46	27.71	44.55	82.63	24.88	55.2	48.91
"PF3D7.1145200"	44.11	82.05	9.79	8.76	52.83	87.83	13.54	30.26	261.47	202.23	36.67	11.6
